year,sem,city,humidity,winddir,tempmax,tempmin,temp,feelslikemax,dew,feelslike,feelslikemin,windspeed,visibility,moonphase,cloudcover,hec,production
2012,1,Kandy,79.18772727,198.84375,29.49602273,20.64545455,24.5875,31.61022727,20.36477273,25.20965909,20.64545455,7.866477273,19.11875,0.510625,51.62613636,134,1510
2012,2,Kandy,83.09083799,225.3307263,28.18715084,21.13631285,24.20446927,30.17486034,20.91061453,24.70614525,21.13631285,5.524581006,18.50837989,0.526703911,64.56145251,124,1361
2013,1,Kandy,83.58822857,186.8491429,28.53714286,21.288,24.42228571,30.94228571,21.23657143,25.08114286,21.288,7.346857143,18.95828571,0.512342857,59.56628571,66,939
2013,2,Kandy,83.44927374,229.5536313,27.72960894,21.11173184,23.95586592,29.41061453,20.79664804,24.36536313,21.11173184,7.655307263,18.93296089,0.538882682,63.59441341,145,1715
2014,1,Kandy,79.48218391,193.8367816,29.71954023,21.17701149,24.87471264,32.07471264,20.70057471,25.52356322,21.17701149,7.758045977,19.26264368,0.50045977,54.0816092,106,1451
2014,2,Kandy,85.43502793,220.0458101,27.50502793,21.66256983,24.05251397,29.39385475,21.29497207,24.48324022,21.66256983,6.276536313,18.03351955,0.516759777,74.16256983,101,1416
2015,1,Kandy,81.64261364,185.0380682,29.45909091,20.99147727,24.58636364,32.01193182,20.93465909,25.29261364,20.99147727,6.330681818,19.03125,0.512897727,52.30511364,113,1470
2015,2,Kandy,85.03842697,226.9550562,28.39325843,21.66629213,24.48426966,30.96011236,21.62078652,25.10280899,21.66629213,6.003932584,17.97191011,0.520898876,66.28370787,84,897
2016,1,Kandy,80.26057143,192.1382857,30.02571429,21.76514286,25.31142857,32.79771429,21.30114286,26.14171429,21.76514286,6.292,18.99371429,0.525771429,50.44857143,75,808
2016,2,Kandy,80.57559322,232.1932203,28.36271186,21.16553672,24.38361582,30.17627119,20.5740113,24.87344633,21.16553672,7.350282486,18.57683616,0.517175141,58.58926554,68,958
2017,1,Kandy,81.00204545,202.0471591,29.11420455,20.78068182,24.44204545,31.31534091,20.63181818,25.08352273,20.78068182,5.907386364,19.18011364,0.519147727,50.29545455,85,1150
2017,2,Kandy,83.63920904,232.8333333,27.93389831,21.61638418,24.37683616,29.96158192,21.24011299,24.88926554,21.61638418,5.824858757,18.97909605,0.501186441,69.43050847,86,1175
2018,1,Kandy,81.44630682,193.5028409,29.24034091,21.07670455,24.56761364,31.63295455,20.86704545,25.17840909,21.07670455,6.170454545,18.90568182,0.528636364,59.04943182,58,808
2018,2,Kandy,82.56278107,221.5319527,27.57278107,21.81715976,24.44201183,29.30473373,21.08402367,25.00414201,21.89053254,6.585798817,18.85798817,0.516568047,68.34852071,81,1387
2009,1,Kegalle,75.70460227,171.1107955,31.18636364,22.04261364,27.25397727,35.73920455,22.30340909,29.71647727,22.04261364,20.68465909,11.77386364,0.521761364,45.19602273,121,1621
2019,2,Kegalle,79.77247191,187.361236,30.12921348,22.55786517,26.85786517,34.73764045,22.92865169,29.09550562,22.58707865,19.64325843,12.37752809,0.506685393,58.08370787,126,1505
2010,1,Kegalle,77.43704545,168.5170455,31.60454545,22.29659091,27.28806818,36.73125,22.74204545,29.83068182,22.29659091,19.97102273,12.98920455,0.523636364,50.63579545,129,1436
2010,2,Kegalle,81.3908427,206.8589888,29.4988764,22.07752809,26.19831461,33.68876404,22.63651685,27.98258427,22.07752809,18.83820225,13.03707865,0.523988764,67.45561798,137,1510
2011,1,Kegalle,78.35811429,168.1794286,30.79371429,22.016,26.8,35.46285714,22.51314286,29.00857143,22.016,20.37085714,12.72057143,0.5284,59.46971429,147,1649
2011,2,Kegalle,78.45683616,188.9988701,30.3259887,22.16949153,26.73672316,34.6960452,22.51073446,28.75141243,22.16949153,20.32316384,12.86666667,0.504971751,62.45141243,132,1440
2012,1,Kegalle,75.68329545,177.9840909,31.26022727,21.73863636,26.96647727,35.70852273,22.03977273,29.06022727,21.73863636,20.75,12.96534091,0.510625,51.90113636,118,1584
2012,2,Kegalle,80.04212291,185.3810056,30.23798883,21.95698324,26.43463687,34.81564246,22.55251397,28.29329609,21.95698324,19.92402235,13.05083799,0.526703911,65.36089385,110,1542
2013,1,Kegalle,78.58028571,163.8257143,30.86342857,21.96457143,26.72114286,35.37371429,22.45542857,28.76,21.96457143,19.10742857,12.90228571,0.512342857,58.46285714,110,1542
2013,2,Kegalle,80.00893855,189.0212291,29.83575419,21.88938547,26.32625698,34.17541899,22.46871508,28.14972067,21.88938547,19.84804469,12.30111732,0.538882682,62.69832402,86,1042
2014,1,Kegalle,75.87724138,162.1936782,31.66666667,21.98275862,27.07126437,36.05114943,22.16321839,29.23850575,21.98275862,19.68678161,12.73448276,0.50045977,49.67471264,131,695
2014,2,Kegalle,81.90670391,186.0346369,29.68994413,22.3,26.30837989,34.23463687,22.85139665,28.22234637,22.3,18.33854749,11.78268156,0.516759777,66.28659218,128,616
2015,1,Kegalle,77.02232955,156.7034091,31.43693182,21.74147727,26.90909091,36.08693182,22.27727273,29.03068182,21.74147727,19.02386364,12.32102273,0.512897727,46.41988636,130,856
2015,2,Kegalle,80.59196629,178.5707865,30.50898876,22.16516854,26.72359551,35.45224719,22.94550562,28.86516854,22.16516854,18.7252809,11.92752809,0.520898876,59.2752809,126,626
2016,1,Kegalle,75.5819774,164.5548023,32.25310734,22.24971751,27.62033898,37.33785311,22.6259887,30.20564972,22.24971751,19.3920904,12.18926554,0.526610169,42.42542373,123,610
2016,2,Kegalle,76.70666667,204.1813559,30.24971751,22.05254237,26.84124294,34.13841808,22.24632768,28.92937853,22.05254237,18.85706215,11.96327684,0.517175141,52.53107345,111,689
2017,1,Kegalle,75.40670455,170.5840909,31.35340909,21.7375,27.10227273,35.93238636,22.10568182,29.44772727,21.7375,19.79602273,11.98806818,0.519147727,44.88920455,117,709
2017,2,Kegalle,80.10180791,192.0689266,30.0299435,22.44745763,26.72429379,34.56214689,22.87344633,28.91355932,22.44745763,19.16101695,11.54632768,0.501186441,57.19152542,106,616
2018,1,Kegalle,77.84244318,164.7982955,31.11193182,21.79204545,26.65227273,35.78579545,22.2125,28.60738636,21.79204545,19.49034091,11.72613636,0.528636364,46.00454545,106,617
